,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,vnf cpu usage
29,1035,7,0,336051818,6251697611,0.0010798202767385774,0.0019230181047882329,2.170195244391795e-06,0.009369,0.0054859999999999996,1.907e-05,4.578,0.2286,7.9460000000000015,81025229,0.1112
30,1038,7,0,82795413,6251697611,0.0002562077868350141,0.008563580039432148,3.222614211150681e-05,0.009369,0.0054859999999999996,1.907e-05,4.4060000000000015,0.2312,2.77,101978502,40.08
31,1042,9,0,82758745,6251697611,0.01743884170031897,0.0037269350938406586,3.3051113452268846e-05,0.009369,0.0054859999999999996,1.907e-05,2.518,0.2236,8.276,75539171,8.984
32,1047,9,0,6000919152,6251697611,0.001519569727030447,0.006508460939479236,2.939506804944961e-05,0.009369,0.0054859999999999996,1.907e-05,5.926,0.2254,11.145999999999999,79541372,0.06276
33,1050,7,0,1335582,6251697611,0.017847182254276686,0.010103267005554426,2.491239758309404e-05,0.009369,0.0054859999999999996,1.907e-05,7.898,0.2868,14.82,74529599,45.22
34,1054,9,0,4469371300,6251697611,0.00024690871014106775,0.008917512710161866,1.553262007624362e-05,0.009369,0.0054859999999999996,1.907e-05,4.65,0.2288,3.198,100155637,25.68
35,1059,6,0,38708762,6251697611,0.002439887150740842,0.0011675304507129036,1.3749911367625476e-05,0.009369,0.0054859999999999996,1.907e-05,12.818,0.327,3.784,211752902,2.96
36,1062,9,0,294793992,6251697611,0.006920562299972532,0.00499703822828957,3.765510654378494e-05,0.009369,0.0054859999999999996,1.907e-05,7.3980000000000015,0.2312,3.912,90284395,22.66
37,1066,7,0,4802476989,6251697611,0.01512430605197184,0.007782348904422386,7.82514200082033e-06,0.009369,0.0054859999999999996,1.907e-05,7.787999999999999,0.2228,11.267999999999999,69107357,0.3418
38,1071,7,0,38644193,6251697611,0.01849136646138998,0.006290852994244354,1.5257608293188543e-05,0.009369,0.0054859999999999996,1.907e-05,6.324000000000002,0.14265999999999998,7.385999999999999,76296557,0.28500000000000003
